NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31620608;15626240
7;262256;589936;8;0;125007104;31256064
8;1048688;2621552;8;15580928;484480512;140636928
9;4194416;10485872;8;31260160;1890762496;546660352
10;16777328;41943152;8;156262144;7704098048;2171856896
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31248896;15577856
7;262256;589936;8;0;125004800;31443200
8;1048688;2621552;8;15640064;468835840;124837376
9;4194416;10485872;8;46860544;1890769920;547201024
10;16777328;41943152;8;156453632;7703347712;2156413952
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15552000;0
6;65648;147568;8;0;31264768;0
7;262256;589936;8;15742976;109263360;46919936
8;1048688;2621552;8;15654144;484581632;140689664
9;4194416;10485872;8;31439872;1906273280;546724096
10;16777328;41943152;8;141008640;7718967040;2187595264
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15520512;15731968
6;65648;147568;8;0;31241728;0
7;262256;589936;8;0;124972288;31252480
8;1048688;2621552;8;15532288;468775936;124870656
9;4194416;10485872;8;46867968;1890570496;547187200
10;16777328;41943152;8;156452352;7672097024;2156629248
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15626240;0
6;65648;147568;8;0;31252224;0
7;262256;589936;8;0;125185792;31252480
8;1048688;2621552;8;15628032;484408320;140640512
9;4194416;10485872;8;47656704;1905422848;531510016
10;16777328;41943152;8;156262400;7656844288;2172217344
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;15625472
5;16496;36976;8;0;15626240;0
6;65648;147568;8;15621888;15626752;15626240
7;262256;589936;8;0;109383424;46877696
8;1048688;2621552;8;0;484235776;141005568
9;4194416;10485872;8;47047680;1906031616;547307520
10;16777328;41943152;8;156456704;7687714048;2172490752
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15626240;0
6;65648;147568;8;0;31252224;0
7;262256;589936;8;15815424;109388032;47205120
8;1048688;2621552;8;0;484418560;140505344
9;4194416;10485872;8;47011840;1922022656;546917120
10;16777328;41943152;8;156259584;7672468736;2187670272
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15626240
7;262256;589936;8;0;124954624;31253248
8;1048688;2621552;8;15771904;468646144;125178624
9;4194416;10485872;8;46852608;1875155712;531317504
10;16777328;41943152;8;156258816;7751039744;2187657472
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15625984;15625472
6;65648;147568;8;0;31252480;0
7;262256;589936;8;0;124640000;31620096
8;1048688;2621552;8;15756544;483913216;140635648
9;4194416;10485872;8;31511808;1906323712;547279872
10;16777328;41943152;8;140822784;7641022720;2156225536
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31266048;15650304
7;262256;589936;8;0;124819456;31253760
8;1048688;2621552;8;0;484599296;140449280
9;4194416;10485872;8;31464960;1905990144;547006464
10;16777328;41943152;8;140816896;7703340800;2172228608
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31251968;15626496
7;262256;589936;8;0;124822016;31252736
8;1048688;2621552;8;15435264;484407552;140856320
9;4194416;10485872;8;46770432;1875350016;547115520
10;16777328;41943152;8;156260608;7688260864;2171894272
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15617792;0
6;65648;147568;8;0;31373824;0
7;262256;589936;8;0;125009152;31236608
8;1048688;2621552;8;0;484652800;140734464
9;4194416;10485872;8;31185152;1890593280;546867456
10;16777328;41943152;8;156261632;7719340800;2171865856
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15594240;0
6;65648;147568;8;0;31380736;0
7;262256;589936;8;0;125006080;31115776
8;1048688;2621552;8;15450112;468773888;140852736
9;4194416;10485872;8;31447296;1906210816;546915840
10;16777328;41943152;8;156639488;7656632832;2187858432
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;15625984
5;16496;36976;8;0;15625728;0
6;65648;147568;8;0;31111680;0
7;262256;589936;8;15625216;109606144;46823168
8;1048688;2621552;8;15431680;484406016;140414464
9;4194416;10485872;8;31544576;1921532416;546915840
10;16777328;41943152;8;155997184;7641581824;2172315904
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15426304;0
5;16496;36976;8;0;15689472;0
6;65648;147568;8;0;31446784;0
7;262256;589936;8;0;125198336;31063296
8;1048688;2621552;8;0;500223232;140441600
9;4194416;10485872;8;31053824;1968890880;546731776
10;16777328;41943152;8;171888384;8234988288;2343929344
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15625472;0
5;16496;36976;8;0;15626496;0
6;65648;147568;8;15626240;31252480;0
7;262256;589936;8;0;125009152;31251968
8;1048688;2621552;8;15628032;500038144;156261888
9;4194416;10485872;8;31251712;2000152832;562541056
10;16777328;41943152;8;156261888;8156873728;2281425664
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15626752
7;262256;589936;8;0;125009408;46878464
8;1048688;2621552;8;15626496;500037632;140636160
9;4194416;10485872;8;31251712;1968900608;562543104
10;16777328;41943152;8;156262656;8094367744;2281424384
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31251968;15625728
7;262256;589936;8;0;125009920;31252480
8;1048688;2621552;8;0;500037632;140635648
9;4194416;10485872;8;46873600;1953646592;578169344
10;16777328;41943152;8;140593664;7703787776;2156502016
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15749376;0
6;65648;147568;8;0;31260672;0
7;262256;589936;8;15613696;109396480;46872064
8;1048688;2621552;8;0;484337920;140622848
9;4194416;10485872;8;46606848;1890438144;546966016
10;16777328;41943152;8;156239872;7625588736;2172415744
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15626240
7;262256;589936;8;0;124988672;31633920
8;1048688;2621552;8;0;500038144;140650752
9;4194416;10485872;8;31438080;1906429440;547305728
10;16777328;41943152;8;156630272;7672276992;2172017664
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31529728;15620864
