num_qubits;DJ_times;DJ_sizes;BV_times;BV_sizes;grover_times;grover_sizes
8;0.015997886657714844;8298;0.01800060272216797;8298;0.018001794815063477;8298
9;0.01900029182434082;16490;0.02099752426147461;16490;0.01900172233581543;16490
10;0.023998737335205078;32874;0.026999235153198242;32874;0.0260009765625;32874
2;0.0039975643157958984;234;0.004002094268798828;234;0.004997968673706055;234
3;0.005000114440917969;362;0.0060002803802490234;362;0.00899958610534668;362
4;0.008000373840332031;618;0.008002281188964844;618;0.011997699737548828;618
5;0.009000062942504883;1130;0.010001897811889648;1130;0.012997865676879883;1130
6;0.010999917984008789;2154;0.012000083923339844;2154;0.01800084114074707;2154
7;0.013001203536987305;4202;0.013999700546264648;4202;0.014000177383422852;4202
8;0.016002416610717773;8298;0.016999483108520508;8298;0.017998218536376953;8298
9;0.018999814987182617;16490;0.01999974250793457;16490;0.019000530242919922;16490
10;0.02500009536743164;32874;0.025999784469604492;32874;0.0260007381439209;32874
2;0.004002094268798828;234;0.0029981136322021484;234;0.00599980354309082;234
3;0.0060007572174072266;362;0.005002021789550781;362;0.010001182556152344;362
4;0.007996320724487305;618;0.007999897003173828;618;0.012000322341918945;618
5;0.00899958610534668;1130;0.009002208709716797;1130;0.012999534606933594;1130
6;0.010998249053955078;2154;0.012999773025512695;2154;0.016002416610717773;2154
7;0.012997627258300781;4202;0.015000343322753906;4202;0.013001680374145508;4202
8;0.01599907875061035;8298;0.01700115203857422;8298;0.017998218536376953;8298
9;0.01900005340576172;16490;0.01999974250793457;16490;0.02000117301940918;16490
10;0.025998830795288086;32874;0.031000137329101562;32874;0.026000261306762695;32874
2;0.005002021789550781;234;0.0029981136322021484;234;0.006001472473144531;234
3;0.004998207092285156;362;0.0070002079010009766;362;0.008999824523925781;362
4;0.008002042770385742;618;0.007997989654541016;618;0.012000560760498047;618
5;0.00899815559387207;1130;0.011002302169799805;1130;0.012997865676879883;1130
6;0.012000083923339844;2154;0.01100015640258789;2154;0.01700282096862793;2154
7;0.013997077941894531;4202;0.01300191879272461;4202;0.013998270034790039;4202
8;0.016000032424926758;8298;0.019001007080078125;8298;0.01900029182434082;8298
9;0.019997835159301758;16490;0.02299976348876953;16490;0.01900005340576172;16490
10;0.024000167846679688;32874;0.026999950408935547;32874;0.0260007381439209;32874
2;0.004999876022338867;234;0.003998279571533203;234;0.005002260208129883;234
3;0.006000041961669922;362;0.00599980354309082;362;0.009002208709716797;362
4;0.007997751235961914;618;0.008002042770385742;618;0.012000560760498047;618
5;0.00999760627746582;1130;0.008999824523925781;1130;0.012000083923339844;1130
6;0.010999917984008789;2154;0.012000322341918945;2154;0.015999794006347656;2154
7;0.013000249862670898;4202;0.01399993896484375;4202;0.013999700546264648;4202
8;0.016002178192138672;8298;0.01800060272216797;8298;0.016999244689941406;8298
9;0.019001245498657227;16490;0.01999831199645996;16490;0.020000457763671875;16490
10;0.024001598358154297;32874;0.02599811553955078;32874;0.026001453399658203;32874
2;0.004000186920166016;234;0.004000186920166016;234;0.005999565124511719;234
3;0.00599980354309082;362;0.005002021789550781;362;0.009000301361083984;362
4;0.007997989654541016;618;0.008002281188964844;618;0.011997699737548828;618
